player_id,player_name,age,nationality,team,jersey_number,position,height_cm,weight_kg,preferred_foot,club_name,market_value_eur,match_id,match_date,stadium,city,opponent_team,tournament_stage,match_result,goals_team,goals_opponent,minutes_played,goals,assists,shots,shots_on_target,expected_goals_xg,expected_assists_xa,key_passes,successful_passes,total_passes,pass_accuracy,dribbles_attempted,successful_dribbles,crosses,successful_crosses,tackles,interceptions,clearances,blocks,aerial_duels_won,aerial_duels_lost,recoveries,defensive_actions,fouls_committed,fouls_suffered,yellow_cards,red_cards,offsides,saves,save_percentage,punches,clean_sheet,goals_conceded,penalty_saves,distance_covered_km,sprint_distance_km,top_speed_kmh,accelerations,decelerations,stamina_score,player_rating,performance_score,offensive_contribution,defensive_contribution,possession_impact,pressure_resistance,creativity_score,consistency_score,clutch_performance_score,total_goals_tournament,total_assists_tournament,total_minutes_tournament,player_of_match_awards,tournament_rating
P00053,Pedro Gavi,36,Spanish,Spain,1,Goalkeeper,191,80,Left,Fenerbahce,2084465,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,67,0.0,0,9.8,50.8,0,38.6,29,31,65,0,0,67,0,0.0
P00054,Gavi Morata,27,Spanish,Spain,2,Goalkeeper,190,75,Left,Borussia Dortmund,1484206,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,57,0.0,1,9.8,55.6,0,35.7,30,46,48,0,0,392,0,0.0
P01237,Lyle Mothiba,19,South African,South Africa,15,Midfielder,174,70,Right,Mamelodi Sundowns,14055270,M00001,2026-07-10,Hard Rock Stadium,Miami,Spain,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,80,0.0,2,64.3,39.5,0,83.3,73,63,63,0,0,30,0,0.0
P01234,Evidence Zungu,34,South African,South Africa,12,Defender,184,80,Right,MC Alger,35009648,M00001,2026-07-10,Hard Rock Stadium,Miami,Spain,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,57,0.0,0,39.5,92.3,0,83.7,35,92,46,0,0,34,0,0.0
P01235,Percy Lorch,31,South African,South Africa,13,Midfielder,183,76,Left,Al Ahly,13340560,M00001,2026-07-10,Hard Rock Stadium,Miami,Spain,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,79,0.0,4,68.9,69.0,0,79.8,65,66,54,0,0,376,0,0.0
P01236,Themba Mdantsane,22,South African,South Africa,14,Midfielder,177,69,Right,Al Ahly,2843803,M00001,2026-07-10,Hard Rock Stadium,Miami,Spain,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,68,0.0,5,39.1,28.3,0,35.6,42,39,61,0,1,283,0,0.0
P01245,Lyle Mbatha,24,South African,South Africa,23,Forward,171,72,Right,TP Mazembe,6738220,M00001,2026-07-10,Hard Rock Stadium,Miami,Spain,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,65,0.0,0,58.9,25.7,0,72.0,52,55,44,0,0,162,0,0.0
P01232,Sphephelo Moseamedi,25,South African,South Africa,10,Defender,173,70,Right,Kaizer Chiefs,10272165,M00001,2026-07-10,Hard Rock Stadium,Miami,Spain,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,63,0.0,2,34.3,60.1,0,45.4,40,76,73,0,1,267,0,0.0
P01248,Mothobi Mvala,29,South African,South Africa,26,Forward,183,82,Right,Club Africain,4868899,M00001,2026-07-10,Hard Rock Stadium,Miami,Spain,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,73,0.0,0,44.5,23.2,0,48.0,47,40,60,1,0,243,0,0.0
P01230,Ronwen Dolly,30,South African,South Africa,8,Defender,183,76,Left,JS Kabylie,40274135,M00001,2026-07-10,Hard Rock Stadium,Miami,Spain,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,62,0.0,3,45.2,93.8,0,60.5,27,82,76,0,0,181,0,0.0
P01242,Luther Zwane,25,South African,South Africa,20,Midfielder,172,71,Right,Al-Masry,3563990,M00001,2026-07-10,Hard Rock Stadium,Miami,Spain,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,70,0.0,1,51.6,32.7,0,43.7,35,46,50,0,0,167,0,0.0
P01224,Themba Mokoena,26,South African,South Africa,2,Goalkeeper,188,77,Right,Gor Mahia,7307306,M00001,2026-07-10,Hard Rock Stadium,Miami,Spain,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,75,0.0,0,9.2,66.8,0,69.9,27,61,23,0,0,153,0,0.0
P01223,Percy Zwane,32,South African,South Africa,1,Goalkeeper,187,81,Right,Al Ahly,1883396,M00001,2026-07-10,Hard Rock Stadium,Miami,Spain,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,72,0.0,0,18.9,64.2,0,64.6,19,51,46,0,0,73,0,0.0
P00634,Renato Traverso,33,Peruvian,Peru,10,Defender,179,80,Right,Nacional,25538402,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Netherlands,Group Stage,W,2,1,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,73,0.0,0,44.8,99.0,0,87.7,38,99,67,0,0,57,0,0.0
P00637,Paolo Flores,33,Peruvian,Peru,13,Midfielder,180,74,Right,Nacional,2233688,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Netherlands,Group Stage,W,2,1,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,83,0.0,6,30.7,39.5,0,24.8,39,42,65,0,0,139,0,0.0
P00628,Paolo Carrillo,29,Peruvian,Peru,4,Defender,179,78,Right,Colo-Colo,3188401,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Netherlands,Group Stage,W,2,1,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,68,0.0,0,22.7,51.4,0,50.0,27,39,48,0,0,404,0,0.0
P00641,André Gonzalez,27,Peruvian,Peru,17,Midfielder,177,73,Right,Penarol,3565779,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Netherlands,Group Stage,W,2,1,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,68,0.0,2,47.0,40.6,0,51.1,43,35,56,0,1,126,0,0.0
P00631,Luis Abram,34,Peruvian,Peru,7,Defender,183,79,Left,Sao Paulo,14916212,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Netherlands,Group Stage,W,2,1,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,79,0.0,0,47.6,99.0,0,99.0,37,99,38,0,0,323,0,0.0
P00644,Sergio Lapadula,22,Peruvian,Peru,20,Midfielder,182,76,Left,LDU Quito,9583419,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Netherlands,Group Stage,W,2,1,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,82,0.0,0,65.2,50.4,0,53.4,49,68,59,0,0,324,0,0.0
P00649,André Advincula,18,Peruvian,Peru,25,Forward,183,70,Right,Deportivo Cali,18257949,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Netherlands,Group Stage,W,2,1,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,78,0.0,1,82.3,31.2,0,81.3,65,66,68,2,2,345,0,0.0
P00643,Renato Lliuya,28,Peruvian,Peru,19,Midfielder,181,77,Right,Universidad de Chile,16541745,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Netherlands,Group Stage,W,2,1,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,78,0.0,5,52.5,51.8,0,73.0,56,63,50,0,1,346,0,0.0
P00625,Paolo Lapadula,30,Peruvian,Peru,1,Goalkeeper,180,71,Right,Flamengo,8269183,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Netherlands,Group Stage,W,2,1,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,70,0.0,0,9.2,74.9,0,68.8,32,69,52,0,0,292,0,0.0
P00627,Pedro Cueva,23,Peruvian,Peru,3,Goalkeeper,187,76,Right,Emelec,3412371,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Netherlands,Group Stage,W,2,1,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,87,0.0,0,7.3,48.1,0,39.6,26,47,33,0,0,346,0,0.0
P00142,Xavi Veerman,29,Dutch,Netherlands,12,Defender,189,76,Right,Tottenham,3161289,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Peru,Group Stage,L,1,2,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,72,0.0,0,12.3,40.6,0,26.0,43,35,43,0,0,19,0,0.0
P00149,Denzel Zerrouki,31,Dutch,Netherlands,19,Midfielder,180,76,Right,Young Boys,4090830,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Peru,Group Stage,L,1,2,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,72,0.0,1,48.8,57.2,0,33.4,52,42,58,1,2,260,0,0.0
P00134,Frenkie de Ligt,25,Dutch,Netherlands,4,Defender,191,84,Right,Atletico Madrid,3079799,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Peru,Group Stage,L,1,2,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,75,0.0,0,24.7,48.5,0,60.6,38,41,46,0,0,20,0,0.0
P00155,Matthijs Blind,20,Dutch,Netherlands,25,Forward,184,79,Right,Roma,5709728,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Peru,Group Stage,L,1,2,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0.0,0,37.1,34.8,0,49.8,42,34,47,1,0,320,0,0.0
P00150,Teun Gakpo,21,Dutch,Netherlands,20,Midfielder,177,76,Right,Midtjylland,7013403,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Peru,Group Stage,L,1,2,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,84,0.0,0,36.9,36.6,0,42.3,39,36,63,0,0,254,0,0.0
P00139,Virgil Weghorst,29,Dutch,Netherlands,9,Defender,189,79,Right,Lech Poznan,28344304,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Peru,Group Stage,L,1,2,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,66,0.0,5,47.6,99.0,0,84.3,34,99,70,0,0,181,0,0.0
P00151,Frenkie Wijndal,30,Dutch,Netherlands,21,Forward,172,72,Right,Benfica,35232276,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Peru,Group Stage,L,1,2,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,65,0.0,0,74.8,23.8,0,80.3,87,75,45,1,0,450,0,0.0
P00131,Frenkie Gakpo,29,Dutch,Netherlands,1,Goalkeeper,188,82,Right,Tottenham,15983743,M00002,2026-07-16,Arrowhead Stadium,Kansas City,Peru,Group Stage,L,1,2,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,75,0.0,0,10.5,93.3,0,87.3,38,99,61,0,0,80,0,0.0
P01055,Nayef Saibari,24,Moroccan,Morocco,15,Midfielder,175,70,Right,ASEC Mimosas,3938028,M00003,2026-07-04,Gillette Stadium,Boston,Senegal,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,84,0.0,0,47.4,43.3,0,45.5,47,49,42,2,0,250,0,0.0
P01061,Achraf El Yamiq,21,Moroccan,Morocco,21,Forward,181,72,Right,Wydad Casablanca,21996955,M00003,2026-07-04,Gillette Stadium,Boston,Senegal,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,69,0.0,3,70.7,21.8,0,67.1,66,65,51,0,0,261,0,0.0
P01053,Achraf Amellah,24,Moroccan,Morocco,13,Midfielder,186,77,Left,JS Kabylie,20874115,M00003,2026-07-04,Gillette Stadium,Boston,Senegal,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,68,0.0,0,70.2,39.4,0,74.7,68,66,68,0,0,187,0,0.0
P01044,Achraf Bounou,29,Moroccan,Morocco,4,Defender,190,79,Right,Orlando Pirates,13987052,M00003,2026-07-04,Gillette Stadium,Boston,Senegal,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,74,0.0,0,38.1,75.8,0,72.2,26,62,60,0,0,254,0,0.0
P01046,Nayef Boufal,28,Moroccan,Morocco,6,Defender,183,76,Right,Al-Masry,5261191,M00003,2026-07-04,Gillette Stadium,Boston,Senegal,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,85,0.0,0,30.0,48.0,0,59.3,33,41,57,0,0,245,0,0.0
P01051,Selim Benoun,24,Moroccan,Morocco,11,Defender,185,75,Left,Gor Mahia,6526379,M00003,2026-07-04,Gillette Stadium,Boston,Senegal,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,60,0.0,0,45.1,70.5,0,72.4,33,67,63,0,0,395,0,0.0
P01052,Azzedine Riad,24,Moroccan,Morocco,12,Defender,184,76,Left,Gor Mahia,6360926,M00003,2026-07-04,Gillette Stadium,Boston,Senegal,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,81,0.0,3,43.0,86.7,0,54.2,26,55,36,0,0,162,0,0.0
P01042,Romain Amrabat,26,Moroccan,Morocco,2,Goalkeeper,187,73,Right,ASEC Mimosas,3417291,M00003,2026-07-04,Gillette Stadium,Boston,Senegal,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,87,0.0,0,11.4,60.5,0,63.6,36,41,70,0,0,374,0,0.0
P01043,Nayef Ziyech,28,Moroccan,Morocco,3,Goalkeeper,189,78,Left,Mamelodi Sundowns,1555212,M00003,2026-07-04,Gillette Stadium,Boston,Senegal,Group Stage,L,0,1,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0.0,1,12.0,46.5,0,44.5,45,42,46,0,0,318,0,0.0
P01021,Edouard Cisse,31,Senegalese,Senegal,7,Defender,187,80,Right,Raja Casablanca,8146955,M00003,2026-07-04,Gillette Stadium,Boston,Morocco,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,67,0.0,0,32.3,86.0,0,77.6,42,71,80,0,0,218,0,0.0
P01024,Ferland Sow,32,Senegalese,Senegal,10,Defender,182,75,Left,Gor Mahia,24985556,M00003,2026-07-04,Gillette Stadium,Boston,Morocco,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,93,0.0,0,16.5,68.0,0,55.5,36,76,43,0,0,243,0,0.0
P01040,Pape Sarr,27,Senegalese,Senegal,26,Forward,186,78,Right,Orlando Pirates,44198676,M00003,2026-07-04,Gillette Stadium,Boston,Morocco,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,73,0.0,0,99.0,22.0,0,99.0,99,99,66,1,1,172,0,0.0
P01035,Sadio Diouf,24,Senegalese,Senegal,21,Forward,180,71,Right,TP Mazembe,31138172,M00003,2026-07-04,Gillette Stadium,Boston,Morocco,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,61,0.0,0,86.8,21.0,0,59.5,84,75,57,0,0,212,0,0.0
P01032,Pape Faye,22,Senegalese,Senegal,18,Midfielder,178,74,Left,TP Mazembe,4603871,M00003,2026-07-04,Gillette Stadium,Boston,Morocco,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,61,0.0,4,41.7,46.3,0,41.6,48,34,62,0,0,139,0,0.0
P01028,Kalidou Diallo,21,Senegalese,Senegal,14,Midfielder,182,79,Right,MC Alger,21460633,M00003,2026-07-04,Gillette Stadium,Boston,Morocco,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,78,0.0,2,65.3,51.4,0,70.3,67,71,43,1,1,260,0,0.0
P01027,Sadio Sabaly,25,Senegalese,Senegal,13,Midfielder,174,73,Right,Al-Hilal Omdurman,3633424,M00003,2026-07-04,Gillette Stadium,Boston,Morocco,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,78,0.0,0,41.6,22.3,0,46.0,65,47,48,0,1,209,0,0.0
P01018,Sadio Diatta,28,Senegalese,Senegal,4,Defender,181,77,Right,Kaizer Chiefs,8080708,M00003,2026-07-04,Gillette Stadium,Boston,Morocco,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,70,0.0,2,16.9,48.5,0,43.4,34,46,62,0,0,202,0,0.0
P01016,Kalidou Mendy,25,Senegalese,Senegal,2,Goalkeeper,191,79,Right,TP Mazembe,31261966,M00003,2026-07-04,Gillette Stadium,Boston,Morocco,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,78,0.0,0,6.2,99.0,0,99.0,42,99,36,0,0,235,0,0.0
P01181,Nabil Khezami,29,Algerian,Algeria,11,Defender,183,83,Right,Orlando Pirates,6091684,M00004,2026-06-13,Lincoln Financial Field,Philadelphia,Italy,Group Stage,W,2,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,70,0.0,3,33.9,54.5,0,49.3,27,44,62,0,0,375,0,0.0
